from,to,time,source1,source2
MV,RB,2023,1,https://de.motorsport.com/f1/drivers/
LoS,W,2023,1,https://de.motorsport.com/f1/drivers/
LN,ML,2023,1,https://de.motorsport.com/f1/drivers/
PG,A,2023,1,https://de.motorsport.com/f1/drivers/
SP,RB,2023,1,https://de.motorsport.com/f1/drivers/
FA,AM,2023,1,https://de.motorsport.com/f1/drivers/
CL,F,2023,1,https://de.motorsport.com/f1/drivers/
LaS,AM,2023,1,https://de.motorsport.com/f1/drivers/
KM,H,2023,1,https://de.motorsport.com/f1/drivers/
NdV,AT,2023,1,https://de.motorsport.com/f1/drivers/
YT,AT,2023,1,https://de.motorsport.com/f1/drivers/
AA,W,2023,1,https://de.motorsport.com/f1/drivers/
GZ,AR,2023,1,https://de.motorsport.com/f1/drivers/
NH,H,2023,1,https://de.motorsport.com/f1/drivers/
EO,A,2023,1,https://de.motorsport.com/f1/drivers/
LH,M,2023,1,https://de.motorsport.com/f1/drivers/
CS,F,2023,1,https://de.motorsport.com/f1/drivers/
GR,M,2023,1,https://de.motorsport.com/f1/drivers/
VB,AR,2023,1,https://de.motorsport.com/f1/drivers/
OP,ML,2023,1,https://de.motorsport.com/f1/drivers/
MV,RB,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
DR,ML,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
LN,ML,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
SV,AM,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
NL,W,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
PG,AT,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
SP,RB,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
FA,A,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
CL,F,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
LaS,AM,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
KM,H,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
YT,AT,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
AA,W,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
GZ,AR,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
EO,A,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
LH,M,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
MS,H,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
CS,F,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
GR,M,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
VB,AR,2022,1,https://de.motorsport.com/f1/drivers/?y=2022
DR,ML,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
LN,ML,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
SV,AM,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
NL,W,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
KR,AR,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
NM,H,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
PG,AT,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
SP,RB,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
FA,A,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
CL,F,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
LaS,AM,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
YT,AT,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
EO,A,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
MV,RB,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
LH,M,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
MS,H,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
CS,F,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
GR,W,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
VB,M,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
AG,AR,2021,1,https://de.motorsport.com/f1/drivers/?y=2021
DR,A,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
LN,ML,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
SV,F,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
NL,W,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
KR,AR,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
RG,H,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
PG,AT,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
SP,AM,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
CL,F,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
LaS,AM,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
KM,H,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
AA,RB,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
DK,AT,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
EO,A,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
MV,RB,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
LH,M,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
CS,ML,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
GR,W,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
VB,M,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
AG,AR,2020,1,https://de.motorsport.com/f1/drivers/?y=2020
