id,name,name2,country,type,age,wins,titles,first F1,financial volume,founded,team lead,
RB,Red Bull Racing,RB,United Kingdom,1,,,5,,,2004,Christian Horner,
W,Williams,W,United Kingdom,1,,,9,,128 Mio,1977,James Vowles,
ML,McLaren,ML,United Kingdom,1,,,,,128 Mio,1966,Andrea Stella,
A,Alpine,A,France,1,,,2,,ca 210 Mio,1977,Cyril Abiteboul,
AM,Aston Martin,AM,United Kingdom,1,,,,,128 Mio,2021,Mike Krack,
F,Ferrari,F,Italy,1,,,16,,NA,1946,Frédéric Vasseur,
H,Haas,H,United States,1,,,,,128 Mio,2014,Günther Steiner,
AT,Alpha Tauri,AT,Italy,1,,,,,128 Mio,2020,Franz Tost,
AR,Alpha Romeo ,AR,Italy,1,,,,,128 Mio,1993,Alessandro Alunni Bravi,
M,Mercedes,M,Germany,1,,8,,,137 Mio,2009,Toto Wolff,
BWT,BWT Racing Point ,BWT,United Kingdom,1,,,,,,2019,,zeitweise BWT Racing Point
MV,Max Verstappen,MV,Netherlands,2,25,36,2,2015,,,,
LoS,Logan Sargeant,LS,United States,2,22,,,2023,,,,
LN,Lando Norris,LN,United Kingdom,2,23,8,,2019,,,,
PG,Pierre Gasly,PG,France,2,27,1,,2017,,,,
SP,Sergio Perez,SP,Mexico,2,33,4,,2011,,,,
FA,Fernando Alonso,FA,Spain,2,41,32,2,2001,,,,
CL,Charles Leclerc,CL,Monaco,2,25,5,,2018,,,,
LaS,Lance Stroll,LaS,Canada,2,24,,,2017,,,,
KM,Kevin Magnussen,KM,Denmark,2,30,,,2014,,,,
NdV,Nyck de Vries,NdV,Netherlands,2,28,,,2022,,,,
YT,Yuki Tsunoda,YT,Japan,2,22,,,2021,,,,
AA,Alexander Albon,AA,Thailand,2,26,,,2019,,,,
GZ,Guanyu Zhou,GZ,China,2,23,,,2022,,,,
NH,Nico Huelkenberg,NH,Germany,2,35,,,2010,,,,
EO,Esteban Ocon,EO,France,2,26,1,,2016,,,,
LH,Lewis Hamilton,LH,United Kingdom,2,38,103,7,2007,,,,
CS,Carlos Sainz Jr.,CS,Spain,2,28,1,,2015,,,,
GR,George Russell,GR,United Kingdom,2,25,1,,2019,,,,
VB,Valtteri Bottas,VB,Finland,2,33,10,,2013,,,,
OP,Oscar Piastri,OP,Australia,2,21,,,2023,,,,
DR,Daniel Ricciardo,DR,Australia,2,33,8,,2011,,,,
SV,Sebastian Vettel,SV,Germany,2,35,53,4,2007,,,,
NL,Nicholas Latifi,NL,Canada,2,27,,,2020,,,,
MS,Mick Schumacher,MS,Germany,2,23,,,2021,,,,
KR,Kimi Räikkönen,KR,Finland,2,43,21,1,2001,,,,
NM,Nikita Mazepin,NM,Russia,2,24,,,2021,,,,
AG,Antonio Giovinazzi,AG,Italy,2,29,,,2017,,,,
RG,Romain Grosjean,RG,France,2,36,,,2012,,,,
DK,Daniil Kvjat,DK,Russia,2,28,,,2014,,,,
