from,to,active
VfB,TH,1
TH,FC Bayern Muenchen,2
TH,Aston Villa,2
TH,ARD,2
TH,Nachwuchszentrum VfB,2
SH,VfB,1
SH,VfB Reha,1
SH,Stadion NeckarPark,1
SH,VfB Arena Betrieb,1
SH,VfB Marketing,1
SH,VfB Beteiligung,1
SH,Württembergischer Fußballverband,1
JR,VfB,1
JR,Sponsorcom,2
JR,IMG,2
JR,inStuttgart,2
JR,VfB Marketing,1
OS,VfB,1
OS,VfL Wolfsburg,2
OS,Kommission Clubmedien,1
CV,VfB,1
CV,Robert Bosch,2
CV,Haniel Konzern,2
CV,Metro Group,2
CV,Intesia Group Holding,1
CV,FC PlayFair,1
WP,VfB,1
WP,Daimler AG,1
RA,VfB,1
BG,VfB,1
BG,Horvath & Partners,2
BG,RECARO Holding,2
HJ,VfB,1
HJ,Alfred Kaercher SE,1
HJ,Alfred-Kärcher-Foerderstiftung,1
HO,VfB,1
HO,Lotto GmbH,1
FR,VfB,1
FR,Mercedes-Benz Finanz,2
FR,Mercedes-Benz Bank,2
FR,Daimler Financial Services,2
FR,Daimler Mobility,1
BS,VfB,1
BS,Robert Bosch,1
BS,Courage Gerlingen,1
