from,to,weight,relation,source1,soure2
KTG,GW,4,4,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
KTG,Wirecard,2,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
KTG,AM,3,3,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
UG,WS,3,3,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
KTG,MB,2,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
MP,AM,1,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
SB,MP,2,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
JOP,Wirecard,2,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
JOP,CR,2,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
WS,JOP,2,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
KTG,Spitzberg,3,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
Spitzberg,Wirecard,2,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
LHR,AM,2,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
Wirecard,AM,1,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
Wirecard,OvB,2,3,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
Wirecard,BaFin,3,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
KSF,Kanzleramt,3,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
KSF,FPÖ,2,3,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
OvB,VBC,3,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
Wirecard,VBC,2,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
OvB,BL,2,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
OvB,LHR,2,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
Wirecard,Commerzbank AG,2,5,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
Commerzbank AG,MC,3,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
Commerzbank AG,MZ,3,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
Commerzbank AG,Financial Times,1,6,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
Wirecard,BayernLB,3,5,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
MK,BayernLB,3,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
KPMG,Wirecard,2,2,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
Wirecard,KfW IPEX-Bank,2,5,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
KfW IPEX-Bank,KM,3,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
KfW IPEX-Bank,Financial Times,1,6,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
EY,Wirecard,3,7,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
OB,Wirecard,3,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c0Ny1wYS0zdWEtODA2MzMy&mod=mod796592
RB,Wirecard,2,5,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
RB,NK,3,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
RB,MK2,3,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
CO,NK,1,3,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
